ID,Main Road,At Road,From Road,To Road,District,Road Type,Latitude,Longitude,Start Date Time,End Date Time,Note,Description,Urgent
"24739","DONNA CRT","33 DONNA CRT","MAXOME AVE","","North York","Local","43.789473","-79.40094","2015-07-22 07:00","2015-12-17 19:00","Continuous","The eastbound and westbound centre lanes will be occupied due to THESL underground installation.","Planned"
"24741","MAXOME AVE","103 MAXOME AVE","","GUSTAV CRES","North York","Collector","43.79013","-79.40096","2015-07-22 07:00","2015-12-17 19:00","Continuous","The northbound and southbound centre lanes will be occupied due to THESL underground installation.","Planned"
"24742","ALGO CRT","36 ALGO CRT","RUTH AVE","","North York","Local","43.793685","-79.396121","2015-07-22 07:00","2015-12-17 19:00","Continuous","The northbound, southbound, eastbound, and westbound centre lanes will be occupied due to THESL underground installation.","Planned"
"24760","ASHTON AVE","","MONTANA AVE","MONTANA AVE","North York","Local","43.72072","-79.501192","2015-07-20 07:00","2015-12-15 19:00","Daily","The westbound lane will be occupied due to watermain and water service replacement.","Planned"
"24762","CUFFLEY CRES N","","KEELEGATE DR","KEELEGATE DR","North York","Local","43.734562","-79.481389","2015-07-20 07:00","2015-12-15 19:00","Daily","The westbound and southbound lane will be occupied due to watermain and water service replacement.","Planned"
"24764","CUFFLEY CRES S","","KEELEGATE DR","KEELEGATE DR","North York","Local","43.732847","-79.480456","2015-07-20 07:00","2015-12-15 19:00","Daily","The northbound, southbound and eastbound lane will be occupied due to watermain and water service replacement.","Planned"
"24765","DERRYDOWN RD","","CATFORD RD","GRANDRAVINE DR","North York","Local","43.758592","-79.492864","2015-07-20 07:00","2015-12-15 19:00","Daily","The northbound and southbound lane will be occupied due to watermain and water service replacement.","Planned"
"24767","DOVEHOUSE AVE","","SENTINEL RD","KEELE ST","North York","Local","43.748539","-79.493144","2015-07-20 07:00","2015-12-15 19:00","Daily","The westbound lane will be occupied due to watermain and water service replacement.","Planned"
"24768","MONTANA AVE","","WILSON AVE","DOWNSVIEW AVE","North York","Local","43.722103","-79.50194","2015-07-20 07:00","2015-12-15 19:00","Daily","The northbound and southbound lane will be occupied due to watermain and water service replacement.","Planned"
"24769","KEELEGATE DR","","KEELE ST","CUFFLEY CRES S","North York","Local","43.733337","-79.482445","2015-07-20 07:00","2015-12-15 19:00","Daily","The eastbound lane will be occupied due to watermain and water service replacement.","Planned"
"24788","ELLESMERE RD","2401 Ellesmere Rd","CHANCELLOR DR","SCARBOROUGH GOLF CLUB RD","Scarborough","Major Arterial","43.77842","-79.22276","2015-07-21 09:00","2015-11-05 16:00","Daily","The eastbound curb lane will be occupied due to THESL underground installation by Powerline Plus.","Planned"
"24796","OLLERTON RD","","KEEGAN CRES","GRANDRAVINE DR","North York","Local","43.752717","-79.50455","2015-07-20 07:00","2015-12-15 19:00","Daily","The northbound and southbound lanes will be occupied due to watermain and water service replacement.","Planned"
"24927","STARCROSS CRT","","EMILY AVE","STARCROSS CRT","Etobicoke York","Local","43.755898","-79.579932","2015-07-30 07:00","2015-10-31 19:00","Daily","One lane in all directions will be occupied one at a time due to Toronto Hydro underground installation.","Planned"
"25082","ROBINSON AVE","","BELLWOODS AVE","BATHURST ST","Toronto and East York","Local","43.645865","-79.410591","2015-08-04 07:00","2015-12-16 19:00","Daily","The southbound curb lane will be occupied due to full length trenchless rehabilitation of existing water mains.","Planned"
